"values","interval","Category"
0.0671666666666667,1,"Neutral"
-0.0514999999999999,1,"Neutral"
0.0478709677419354,1,"Neutral"
0.00297154471544713,1,"Neutral"
0.00545901639344274,1,"Neutral"
0.0265773195876289,1,"Neutral"
0.00554194018964264,1,"Neutral"
0.0302666666666667,2,"Neutral"
-0.0822777777777779,2,"Neutral"
0.0462795698924731,2,"Neutral"
-0.000544715447154495,2,"Neutral"
0.00404918032786895,2,"Neutral"
0.00902061855670095,2,"Neutral"
0.0108563092633114,2,"Neutral"
0.0437666666666666,3,"Neutral"
-0.0562222222222222,3,"Neutral"
0.0128172043010753,3,"Neutral"
-0.00100406504065035,3,"Neutral"
0.00103278688524591,3,"Neutral"
0.0165360824742268,3,"Neutral"
0.00365134938001457,3,"Neutral"
-0.000766666666666674,4,"Neutral"
-0.00361111111111108,4,"Neutral"
-0.0010752688172043,4,"Neutral"
3.6585365853653e-05,4,"Neutral"
0.000409836065573775,4,"Neutral"
7.21649484536175e-05,4,"Neutral"
-0.000118161925601728,4,"Neutral"
0.0121724137931035,1,"Functional"
-0.0123409490333919,1,"Functional"
0.0017282127031019,1,"Functional"
0.000634408602150533,1,"Functional"
0.0176619718309859,1,"Functional"
0.0231034482758621,2,"Functional"
-0.00618629173989456,2,"Functional"
0.00861742983751847,2,"Functional"
0.00151612903225805,2,"Functional"
0.00252112676056336,2,"Functional"
0.0208275862068966,3,"Functional"
-0.00421792618629178,3,"Functional"
0.00235450516986707,3,"Functional"
0.000182795698924751,3,"Functional"
0.00436619718309855,3,"Functional"
0.000551724137931047,4,"Functional"
-0.000168717047451681,4,"Functional"
0.00023633677991136,4,"Functional"
0.000182795698924748,4,"Functional"
0.000521126760563369,4,"Functional"
-0.0150303030303033,1,"Selected"
0.0563,1,"Selected"
0.0491764705882354,1,"Selected"
-0.00112121212121211,2,"Selected"
0.0217,2,"Selected"
0.0218529411764706,2,"Selected"
-0.00654545454545454,3,"Selected"
0.0025,3,"Selected"
0.00717647058823527,3,"Selected"
-0.00012121212121212,4,"Selected"
0,4,"Selected"
-0.000999999999999981,4,"Selected"
